gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
9698,Some Christmas Stories,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9699,Martin Chuzzlewit,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9702,The Old Curiosity Shop,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9703,Dombey and Son,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9704,Doctor Marigold,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9705,The Mystery of Edwin Drood,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9706,Speeches: Literary and Social,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9707,Going into Society,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9708,George Silverman's Explanation,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9709,Hard Times,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9710,Holiday Romance,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9711,The Holly-Tree,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9712,Hunted Down,"Dickens, Charles",37,en,Detective Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9713,The Haunted Man and the Ghost's Bargain,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9715,Little Dorrit,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9716,The Lamplighter,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9718,Mudfog and Other Sketches,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9719,Our Mutual Friend,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9720,Mugby Junction,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9721,Master Humphrey's Clock,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9722,Mrs. Lirriper's Lodgings,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9723,Mrs. Lirriper's Legacy,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9724,Miscellaneous Papers,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9725,Nicholas Nickleby,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9726,No Thoroughfare,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9727,Oliver Twist,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9728,Pictures from Italy,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9729,Perils of Certain English Prisoners,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9730,The Pickwick Papers,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9731,To Be Read at Dusk,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9732,Barnaby Rudge,"Dickens, Charles",37,en,Historical Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9733,"Sketches by Boz, illustrative of everyday life and every-day people","Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9734,Sketches of Young Gentlemen,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9735,Somebody's Luggage,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9736,Sunday under Three Heads,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9737,The Seven Poor Travellers,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9738,"The Chimes
A Goblin Story of Some Bells That Rang an Old Year out and a New Year In","Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9739,Cricket on the Hearth,"Dickens, Charles",37,en,Children's Literature,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9740,Tom Tiddler's Ground,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9741,The Uncommercial Traveller,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9742,The Wreck of the Golden Mary,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9743,Sketches of Young Couples,"Dickens, Charles",37,en,NA,Copyrighted. Read the copyright notice inside this book for details.,FALSE
9744,David Copperfield,"Dickens, Charles",37,en,Harvard Classics,Copyrighted. Read the copyright notice inside this book for details.,FALSE
